ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
14601555256062534,9,20649,10,22,220,197,0,114,-14601533765988051,0,0,1,0,1,0,-1,5,0,0,0,0,2,0,0,0,4014468352,0,394,303
14601555256089951,9,71,10,22,220,197,0,114,-14601533765988051,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4014468352,0,394,303
14601557084073573,9,31947,26,10,205,173,0,101,-14601535593987894,0,0,1,1,1,1,0,124,1,0,0,0,1,0,0,0,4014468352,0,363,273
14601557084102360,9,168,26,10,205,173,0,101,-14601535593987894,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,4014468352,0,363,273
14601557084118190,6481,31947,26,33,205,173,0,101,-14601535593987894,0,0,1,1,1,1,0,124,0,0,0,0,1,0,0,0,3709473792,0,363,273
14601557084136606,6481,168,26,33,205,173,0,101,-14601535593987894,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3709473792,0,363,273
14601557084149456,33075,31947,26,8,205,173,0,101,-14601535593987894,0,0,1,1,1,1,0,124,0,0,0,0,1,0,0,0,2415073792,0,363,273
14601557084169920,33075,168,26,8,205,173,0,101,-14601535593987894,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2415073792,0,363,273
14601557336105439,0,34161,14,15,496,315,0,168,-14601535845970086,1,0,0,1,1,1,0,148,0,0,0,0,1,0,0,1,1284973568,0,842,552
14601557336120923,0,42300,14,15,496,315,0,168,-14601532506118920,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1284973568,0,842,552
14601557336146359,0,34161,14,18,496,315,0,168,-14601535845970086,1,0,0,1,1,1,0,148,0,0,0,0,1,0,0,1,1284973568,0,842,552
14601557336157770,0,42300,14,18,496,315,0,168,-14601532506118920,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1284973568,0,842,552
14601557336175936,0,34161,14,19,496,315,0,168,-14601535845970086,1,0,0,1,1,1,0,148,0,0,0,0,1,0,0,1,1284973568,0,842,552
14601557336186093,0,42300,14,19,496,315,0,168,-14601532506118920,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1284973568,0,842,552
14601557336203263,0,34161,14,20,496,315,0,168,-14601535845970086,1,0,0,1,1,1,0,148,0,0,0,0,1,0,0,1,1284973568,0,842,552
14601557336212946,0,42300,14,20,496,315,0,168,-14601532506118920,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1284973568,0,842,552
14601557336230300,0,34161,14,21,496,315,0,168,-14601535845970086,1,0,0,1,1,1,0,148,1,0,0,0,1,0,0,1,1284973568,0,842,552
14601557336240823,0,42300,14,21,496,315,0,168,-14601532506118920,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1284973568,0,842,552
14601557336259947,0,34161,14,22,496,315,0,168,-14601535845970086,1,0,0,1,1,1,0,148,0,0,0,0,1,0,0,1,1284973568,0,842,552
14601557336270263,0,42300,14,22,496,315,0,168,-14601532506118920,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1284973568,0,842,552
