src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate
0,1,0,0,1,0,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,0,0.0,0,0,1
0,1,0,0,1,1,0,0,0,0.0,0.0,2,0.0,0,0,0
0,1,1,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,1,-2,0.0,0.0,0,1.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,1,1,11,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,1,1,3,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,1
1,1,0,0,1,1,0,0,3,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,0,0.0,0,0,1
1,1,0,0,1,1,0,0,3,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,186,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,25,0.0,0.0,32,0.0,0,0,0
1,1,1,0,0,1,0,0,25,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,25,0.0,0.0,22,0.0,0,0,0
1,1,0,0,1,1,0,0,25,0.0,0.0,14,0.0,0,0,0
1,1,0,0,1,1,0,0,25,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,25,0.0,0.0,343,0.0,0,0,0
0,1,1,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,1,1,-1,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,1,1,-1,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,163,0.0,0.0,5,0.0,0,1,0
1,1,0,0,1,0,1,0,23,0.0,0.0,0,-0.8769230769230769,0,0,1
1,1,0,0,1,1,0,0,171,0.0,0.0,27,0.0,0,0,0
1,1,0,0,1,1,0,0,171,0.0,0.0,66,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,0,0.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,1,0.0,0,0,1
1,1,0,0,1,1,1,1,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,9,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,2,0.0,0,0,1
