src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate,prediction,output
1,1,0,0,1,0,0,0,931,0.0,0.0,5,0.0,0,0,0,0,-234.54051
1,1,0,0,1,1,0,0,222,0.0,0.0,0,0.0,0,0,0,0,-56.322956
1,1,0,0,1,1,0,0,1214,0.0,0.0,1,0.0,0,0,0,0,-306.72714
0,1,1,0,0,1,1,1,267,0.0,0.0,0,0.0,0,0,0,0,-67.58347
0,1,0,0,1,1,0,0,1193,0.0,0.0,1,0.0,0,0,0,0,-301.53418
0,1,1,0,0,1,1,1,242,0.0,0.0,0,0.0,0,0,0,0,-61.267536
0,1,0,0,1,0,0,0,295,0.0,0.0,0,0.0,0,0,0,0,-75.0376
0,1,1,0,0,1,1,1,235,0.0,0.0,0,0.0,0,0,1,0,-59.499073
1,1,0,0,1,0,1,0,1771,0.0,0.0,1,-0.7837837837837838,0,0,0,0,-447.28354
0,1,0,0,1,1,1,1,951,0.0,0.0,0,0.0,0,0,0,0,-240.80396
0,1,0,0,1,1,1,1,1313,0.0,0.0,1,0.0,0,0,0,0,-332.04636
1,1,0,0,1,1,1,1,0,0.0,0.0,0,0.0,0,0,0,0,-0.9549842
0,1,1,0,0,1,1,1,207,0.0,0.0,0,0.0,0,0,0,0,-52.42521
1,1,0,0,1,0,0,0,6,0.0,0.0,22,0.0,0,0,1,0,-1.1998341
0,1,0,0,1,0,1,0,240,0.0,0.0,0,-0.6666666666666666,0,0,0,0,-60.858177
0,1,1,0,0,1,1,1,266,0.0,0.0,0,0.0,0,0,0,0,-67.33083
1,1,0,0,1,1,1,1,1685,0.0,0.0,0,0.0,0,0,0,0,-426.12766
1,1,0,0,1,0,1,0,1867,0.0,0.0,0,-0.7837837837837838,0,0,0,0,-471.7492
1,1,1,0,0,1,1,1,1850,0.0,0.0,0,0.0,0,0,0,0,-467.3965
1,1,0,0,1,1,1,1,147,0.0,0.0,1,0.0,0,0,0,0,-37.35835
1,1,0,0,1,1,1,1,1790,0.0,0.0,1,0.0,0,0,0,0,-452.44214
0,1,0,0,1,0,1,0,233,0.0,0.0,0,-0.7692307692307693,0,0,0,0,-59.056324
1,1,1,0,0,1,0,0,1683,0.0,0.0,0,0.0,0,0,0,0,-425.01038
0,1,1,0,0,1,1,1,256,0.0,0.0,0,0.0,0,0,0,0,-64.80447
0,1,1,0,0,1,1,1,295,0.0,0.0,0,0.0,0,0,1,0,-74.65733
0,1,0,0,1,1,1,1,1366,0.0,0.0,1,0.0,0,0,0,0,-345.4362
0,1,1,0,0,1,1,1,277,0.0,0.0,0,0.0,0,0,1,0,-70.109856
1,1,1,0,0,1,1,1,1113,0.0,0.0,0,0.0,0,0,0,0,-281.20255
0,1,0,0,1,1,1,1,233,0.0,0.0,0,0.0,0,0,0,0,-59.410084
1,1,0,0,1,1,1,1,1600,0.0,0.0,0,0.0,0,0,0,0,-404.6534
0,1,1,0,0,1,1,1,231,0.0,0.0,0,0.0,0,0,0,0,-58.488514
0,1,0,0,1,1,0,0,7,0.0,0.0,0,0.0,0,0,0,0,-2.0126998
1,1,1,0,0,1,0,0,2251,0.0,0.0,0,0.0,0,0,0,0,-568.50854
1,1,0,0,1,1,1,1,2182,0.0,0.0,0,0.0,0,0,0,0,-551.68854
1,1,0,0,1,0,0,0,1423,0.0,0.0,1,0.0,0,0,0,0,-359.68805
0,1,0,0,1,1,0,0,1313,0.0,0.0,1,0.0,0,0,0,0,-331.85068
0,1,0,0,1,0,1,0,1188,0.0,0.0,2,-0.7837837837837838,0,0,0,0,-299.8957
1,1,0,0,1,0,0,0,78,0.0,0.0,0,0.0,0,0,0,0,-20.102768
1,1,1,0,0,1,1,1,250,0.0,0.0,0,0.0,0,0,1,0,-63.176193
1,1,0,0,1,1,1,1,150,0.0,0.0,1,0.0,0,0,0,0,-38.116264
1,1,0,0,1,0,1,0,1750,0.0,0.0,0,-0.7837837837837838,0,0,0,0,-442.19058
1,1,0,0,1,1,0,0,931,0.0,0.0,13,0.0,0,0,0,0,-232.6813
0,1,0,0,1,1,0,0,954,0.0,0.0,1,0.0,0,0,0,0,-241.15373
0,1,0,0,1,0,1,0,242,0.0,0.0,0,-0.7049180327868853,0,0,0,0,-61.350998
0,1,1,0,0,1,1,1,298,0.0,0.0,0,0.0,0,0,0,0,-75.415245
1,1,0,0,1,1,1,1,1196,0.0,0.0,0,0.0,0,0,0,0,-302.58783
1,1,1,0,0,1,1,1,1928,0.0,0.0,6,0.0,0,0,0,0,-485.82758
0,1,0,0,1,0,1,0,1499,0.0,0.0,0,-0.7837837837837838,0,0,0,0,-378.8909
1,1,0,0,1,1,0,0,931,0.0,0.0,6,0.0,0,0,0,0,-234.16843
1,1,1,0,0,1,1,1,324,0.0,0.0,0,0.0,0,0,0,0,-81.87139
1,1,0,0,1,1,0,0,30,0.0,0.0,3,0.0,0,0,0,0,-7.575801
1,1,1,0,0,1,1,1,296,0.0,0.0,0,0.0,0,0,1,0,-74.79754
1,1,1,0,0,1,0,0,27,0.0,0.0,717,0.0,0,0,1,1,2.0723724
1,1,0,0,1,1,1,1,234,0.0,0.0,0,0.0,0,0,0,0,-59.550285
1,1,0,0,1,0,0,0,942,0.0,0.0,142,0.0,0,0,0,0,-223.5528
0,1,0,0,1,1,1,1,236,0.0,0.0,0,0.0,0,0,0,0,-60.16799
