time,tpt
-0.455013,-108023.175191
-0.411541,1130635.225291
-0.368635,1145575.166973
-0.326019,1153376.419595
-0.282880,1139385.498190
-0.239512,1133370.827973
-0.196450,1141433.774304
-0.153135,1134761.937787
-0.110697,1158207.840199
-0.067692,1142930.702013
-0.024846,1147160.568708
0.001231,1884885.178158
0.003988,17828280.923101
0.006758,17745480.592325
0.009516,17823839.457800
0.012266,17874819.531673
0.015016,17868360.438333
0.017776,17813633.126573
0.020526,17868724.206828
0.023284,17825798.084539
0.026039,17842434.661775
0.030556,10881259.845867
0.034181,13558532.825072
0.036942,17800240.537918
0.039708,17773297.168646
0.042460,17860186.050872
0.045222,17795258.942161
0.047984,17795974.109812
0.050763,17685009.514976
0.053524,17799757.078511
0.056279,17844760.171099
0.059041,17795452.225047
0.061795,17845090.585110
0.064685,17009319.274252
0.069870,9480272.673565
0.072620,17871264.503223
0.075377,17827401.505348
0.078134,17826360.542059
0.080891,17827317.447899
0.083641,17875274.573411
0.086396,17839248.597144
0.089151,17846723.398662
0.091901,17867425.101638
0.094655,17853458.671742
0.097525,17124694.407194
0.102716,9467583.273782
0.105548,17355484.833901
0.108298,17873643.031145
0.111057,17817514.030495
0.113812,17842492.954045
0.116568,17836782.121413
0.119326,17820769.869441
0.122087,17802368.071349
0.124853,17764689.426952
0.127611,17824899.519164
0.131127,13980015.222380
0.135532,11157960.784599
0.138293,17801587.916709
0.141044,17869991.016287
0.143795,17865022.254950
0.146545,17871933.806360
0.149299,17851001.231542
0.152057,17818321.419288
0.154807,17875515.104832
0.157563,17834413.393226
0.160588,16248772.300657
0.165641,9727490.927975
0.168398,17823251.307408
0.171163,17781096.298354
0.173927,17782151.281420
0.176686,17813136.028111
0.179450,17784023.541254
0.182203,17853860.744826
0.184963,17807734.292605
0.187733,17747184.938001
0.190477,17913496.094725
0.195771,9283143.818849
0.198590,17438574.544123
0.201348,17821202.778907
0.204102,17846321.646980
0.206855,17856357.894423
0.209610,17839034.938406
0.212366,17836199.588931
0.215129,17789732.828268
0.217883,17847954.685832
0.220660,17698069.890669
0.225249,10711416.117988
0.228670,14365587.123814
0.231429,17813252.230462
0.234181,17866126.185332
0.236956,17709477.661925
0.239706,17871595.899481
0.242460,17850430.735339
0.245215,17841903.571974
0.247971,17831527.760546
0.250732,17803689.977021
0.253484,17861263.421294
0.256378,16981405.858088
0.261493,9610710.686558
0.264245,17859361.885349
0.267001,17830654.490802
0.269758,17829580.809695
0.272511,17854476.859687
0.275274,17789526.792507
0.278028,17845660.740018
0.280784,17838685.326055
0.283540,17833953.958705
0.286300,17808869.869379
0.289051,17865580.696798
0.294222,9505797.913993
0.296984,17793674.180855
0.299738,17846969.642505
0.302498,17807256.877433
0.305257,17820149.617907
0.308009,17854729.803363
0.310766,17829574.342128
0.313519,17856124.365116
0.316266,17892433.537683
0.319021,17842836.238469
0.323557,10835427.031824
0.327196,13507200.432653
0.329963,17763694.293298
0.332719,17831915.907889
0.335472,17857895.448184
0.338224,17857220.708447
0.340979,17845356.220932
0.343730,17861399.724404
0.346488,17821958.805575
