time,tpt
-0.459398,-106992.132415
-0.416019,1133072.876259
-0.372666,1133778.269951
-0.329336,1134363.344112
-0.285900,1131593.801015
-0.242518,1132997.707657
-0.199435,1140871.440835
-0.156834,1153781.041316
-0.115462,1188044.518894
-0.074231,1192106.890311
-0.027420,1049998.308108
0.001986,1671500.956304
0.005842,12748544.351847
0.010260,11125466.616810
0.014414,11833100.131639
0.018793,11223611.599833
0.022834,12164093.502560
0.027071,11599615.045328
0.031082,12255171.459453
0.035612,10850759.886539
0.039993,11219397.286089
0.044168,11770317.879044
0.048229,12104132.180118
0.052479,11565451.320137
0.056480,12285119.139562
0.060958,10975586.064632
0.065400,11067436.109267
0.069908,10903091.982195
0.073777,12702738.045827
0.078125,11304900.423175
0.082020,12619556.769905
0.086347,11359032.744344
0.090412,12091780.629829
0.094451,12167670.860938
0.098983,10845667.249492
0.103350,11256110.170278
0.107742,11192271.066458
0.112157,11132834.795907
0.116583,11103310.120114
0.120265,13351195.772991
0.124708,11063300.889057
0.129044,11333796.351381
0.133029,12335432.823063
0.137619,10709481.351009
0.141352,13164840.939570
0.145640,11462384.503393
0.149706,12090138.832930
0.154059,11289842.449367
0.158187,11907045.971198
0.162191,12276981.409185
0.166488,11438185.695985
0.170496,12264666.472037
0.174287,12965978.024946
0.178751,11009475.154989
0.182564,12892179.080425
0.186928,11263665.375274
0.191370,11064501.279175
0.195072,13276613.123891
0.199526,11035723.980270
0.203710,11747494.826174
0.207673,12401054.210712
0.211890,11658098.372321
0.215814,12526124.763281
0.219713,12605177.786041
0.224041,11355815.315518
0.227731,13319780.139078
0.232062,11349891.724361
0.235994,12499450.072006
0.240318,11368906.346460
0.244297,12351393.527279
0.248635,11331891.486626
0.252565,12506446.982837
0.256705,11870683.165641
0.260771,12089862.269727
0.264908,11881231.198384
0.269034,11911426.215898
0.272761,13190157.295953
0.276649,12641828.991177
0.280909,11536980.091245
0.284872,12403867.628485
0.289031,11816873.086898
0.293015,12337996.646912
0.297345,11350948.025396
0.301282,12487154.505418
0.305565,11474069.657725
0.309465,12604117.570733
0.313747,11479825.990203
0.317719,12374569.393837
0.321952,11611858.875470
0.325923,12374715.821116
0.330120,11713301.503364
