time,tpt
-0.451105,-108959.032291
-0.407988,1139971.008110
-0.365070,1145254.246699
-0.322203,1146594.692843
-0.279345,1146874.938459
-0.236500,1147209.646868
-0.194634,1174016.318855
-0.152008,1153112.519355
-0.109935,1168229.574604
-0.067560,1159954.907319
-0.024741,1147885.199243
0.001150,1898429.979250
0.003854,18174651.478724
0.006560,18166422.794366
0.009261,18199328.411013
0.011962,18194147.904445
0.014661,18215447.924283
0.017362,18198398.532043
0.020065,18179410.722568
0.022773,18152501.397852
0.025473,18205004.079755
0.028186,18120065.340177
0.030876,18266408.160125
0.033585,18149679.467178
0.036283,18216494.318093
0.038988,18167900.049937
0.041693,18169861.142071
0.044395,18192026.701774
0.047091,18232515.765940
0.049799,18150034.673833
0.052508,18142933.181355
0.055216,18154063.556212
0.057921,18168786.518607
0.060622,18197293.582041
0.063326,18178698.021765
0.066025,18211209.571556
0.068727,18192545.172306
0.071429,18190909.060629
0.074136,18153942.864867
0.076836,18203217.412752
0.079536,18206609.007960
0.082237,18198095.331184
0.084940,18182430.235393
0.087641,18197030.839288
0.090347,18164925.639553
0.093048,18202576.994879
0.095751,18181764.376881
0.098452,18195461.277821
0.101153,18198095.331184
0.103858,18172628.882693
0.106563,18167913.480635
0.109267,18180042.787015
0.111969,18194094.026509
0.114671,18190740.753077
0.117372,18193649.545714
0.120077,18170741.084684
0.122778,18201208.674014
0.125482,18174214.667381
0.128181,18208787.577481
0.130887,18166362.366299
0.133587,18204862.482027
0.136291,18175027.825335
0.138998,18158624.182757
0.141703,18170438.804711
0.144405,18195973.208029
0.147107,18188398.235335
0.149810,18183842.824001
0.152518,18150336.275304
0.155221,18186076.507172
0.157922,18196694.000703
0.160620,18215252.160726
0.163321,18199692.302565
0.166027,18163912.011160
0.168727,18205442.372397
0.171434,18158657.725262
0.174135,18192747.181812
0.176840,18173509.093410
0.179548,18151402.014114
0.182250,18191238.952464
0.184957,18159757.988121
0.187659,18185195.078691
0.190364,18173314.230254
0.193065,18201329.994645
0.195769,18172326.539908
0.198470,18197731.503490
0.201177,18159630.511815
